,genre,rating,review_num,url,img
퍼즐쓰리고,board,3.9,23700,https://play.google.com/store/apps/details?id=com.sandwichgames.puzzlethreego,https://play-lh.googleusercontent.com/-YuT-GxydU7uLycf_Mj4Tf2f_X3vD6uonfaniD5EWXvY_kiHdUWvJ-Rk1dzXOBpFfng=w240-h480-rw
한방맞고,board,3.6,944,https://play.google.com/store/apps/details?id=com.lunosoft.hmg,https://play-lh.googleusercontent.com/iFAFMO3nenGMS4Fmp9xlWl0Y-Vr8jnDxtxGAuVjR_BEOwdsmWw1QGv4_VOcy556ZMUfM=w240-h480-rw
애니팡 포커,board,3.8,48100,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.poker.service,https://play-lh.googleusercontent.com/XfBF0dWM4lgCLZnk1jjZrbrjcQd2POspnn4sD8zTuXea20Ut1nZIX4MxlwBwJ3xdcEHI=w240-h480-rw
피망 포커,board,3.9,15300,https://play.google.com/store/apps/details?id=com.neowiz.games.pokerKakao,https://play-lh.googleusercontent.com/c5rKX3Io9QpchLs_KzqMXISN3RTP51cno7nAf6RlYjByxJ-Wg0IDV_q_fgVAgObozWJL=w240-h480-rw
바둑2.0,board,3.5,1140,https://play.google.com/store/apps/details?id=com.monomob.baduk2,https://play-lh.googleusercontent.com/Uv7RDIyAkAN1AVZXxWEbhmrpGV9cqQNAXMzlH5v8cWrSGxIrhhYC-e1rwjMjGDSqETY=w240-h480-rw
애니팡 맞고,board,3.9,128000,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.matgo.service,https://play-lh.googleusercontent.com/mnKXlP-7CMBWSyho2khJyF_vIyIbk7nLUKE82vbpjcBVVSSWr2Q7gpxlCCynAiBfBfHd=w240-h480-rw
맞고의신,board,3.6,33700,https://play.google.com/store/apps/details?id=com.joymax.gostop,https://play-lh.googleusercontent.com/UDUU738XTM9XBvSp9dES1oSzz4yKpPfbnNIpGN_m8iqi9ajJkgpKjnxt4qf6o0dkqzY=w240-h480-rw
오목,board,2.5,58500,https://play.google.com/store/apps/details?id=com.monomob.omok,https://play-lh.googleusercontent.com/-c2Mz66bqgaBU9eO6CBP7hzwIDrIJ9Z4pHfI-doOzeKyYZwfIB6G-VVCDup5Z5ThMTnF=w240-h480-rw
장기,board,3.5,57400,https://play.google.com/store/apps/details?id=com.monomob.jangki,https://play-lh.googleusercontent.com/3YUFiVZQ7UM7mUJKu5mbDvomi29plfZl9Rt9pzkeBqkp-HqzDMsMeulHZCAJeehukNGN=w240-h480-rw
모두의마블,board,3.4,1580000,https://play.google.com/store/apps/details?id=com.cjenm.ModooMarbleKakao,https://play-lh.googleusercontent.com/hixay-W9zEw_bBQUuaTN5YoHg2Ch-vwwhi47b_wVERTQ2RBL-7W-8uwTgbVjxl_Pew=w240-h480-rw
카트라이더 러쉬플러스,sports,3.7,428000,https://play.google.com/store/apps/details?id=com.nexon.kart,https://play-lh.googleusercontent.com/OeKApmjk4WUCvrqgsGjnaW5tE08-mLNxJBaHPU-e_O1KVkDFC8Nk2pjq_lTOVQI2rg=w240-h480-rw
낚시왕,sports,3.7,545,https://play.google.com/store/apps/details?id=com.funnypack.rfkakao,https://play-lh.googleusercontent.com/J-cfeFq-eSNCAp3MumH6PmRHW55AXHE4aNtRp8qa-sleSA3zhrmBoQ6597ojThG4TQ=w240-h480-rw
드림스쿼드,sports,4.4,9670,https://play.google.com/store/apps/details?id=com.AIGames.DSFMK,https://play-lh.googleusercontent.com/wtJJZKLnY7qaqtHHRPaqtq2vb1G9XelWMdKai_VtzC_fz7A67OMA_gAekjxL8jWjNvw=w240-h480-rw
Hello BT21,puzzle,4.4,13600,https://play.google.com/store/apps/details?id=com.kakaogames.hellobt21,https://play-lh.googleusercontent.com/PeeOv3NLHTixiHUI1s5GkzkKY17cR4zBln53IPqtBHDZjQdP3HXjxKbtI6P8qyON-g=w240-h480-rw
애니팡4,puzzle,4.3,65400,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.anipang4,https://play-lh.googleusercontent.com/C2UgLvZ13BCADFZk3p_Hsgasjb5Cz5FgGYMtkt2TgYCPDpGYyB0tF0OthkK6K8MSiA=w240-h480-rw
디즈니 팝 타운,puzzle,4.4,9670,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.joy,https://play-lh.googleusercontent.com/nNPMff3LFd_qDYadSz_LRp_ZoysleWEEOzIfXSwg6kGssdcSfef3YzhcM_9iu3MPf1DU=w240-h480-rw
프렌즈타운,puzzle,4.4,99800,https://play.google.com/store/apps/details?id=com.kakaogames.friendsTown,https://play-lh.googleusercontent.com/emG1Axw1nSlxrlpvkLzwrCRAQzgur5-cOdk2iuwLNPraQfhbqYs-7D_EXd1ZMZFm1CNy=w240-h480-rw
프렌즈타워,puzzle,4,11900,https://play.google.com/store/apps/details?id=com.kakaogames.friendsTower,https://play-lh.googleusercontent.com/lETEdoigQCj-eJuCqkREA-OkqtHG6Rmhe9bFF6CvEb6J-7f4MJIOZ9jJ_BatV8cQHfo=w240-h480-rw
캔디팡 : 쥬시월드,puzzle,3.7,30500,https://play.google.com/store/apps/details?id=com.joymax.candypang2,https://play-lh.googleusercontent.com/Ng5Dn7CYC5wvvz2Hc7XfGjqEWwXnXNQVfE9OwnNjGeb-mu3HpDqCV-iXcxzHWSYAGFc=w240-h480-rw
헬로키티 프렌즈,puzzle,4.5,41200,https://play.google.com/store/apps/details?id=com.SuperAwesome.HKFKakao,https://play-lh.googleusercontent.com/RpIAdFNws5Pj2tO8ZmHQ94RKspkWFaFojo_HWpGD_kaG43LT8Tl480cGRGNS7V1kMEU=w240-h480-rw
위 베어 베어스 더 퍼즐,puzzle,4,72200,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.wbb,https://play-lh.googleusercontent.com/7RPj6B_IdLjl5SjtyWG9ufQosqQ77llGSkTLhungciYDXuC0S1TehzlGAs1Coq5BQHw=w240-h480-rw
스누피 틀린그림찾기,puzzle,4.1,40200,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.diffgame,https://play-lh.googleusercontent.com/NC46WYbG-C71vBzZ-XP9nklKWZG7EnokQ7AfdVvKgErTtUnAEX2CSIrY7fN6Spat5vY=w240-h480-rw
