title,genre,rating,review_num,url,img,key_words
아이러브스타일,simulation,4.3,157000,https://play.google.com/store/apps/details?id=com.noknok.BEAUTYCITY,https://play-lh.googleusercontent.com/YW6AJwFL4jRYxcjFJk6eVmDuTPs4BvRMOm9fonlUivr8tmUhv60twSdAPrbrRyv8C9tS=w240-h480-rw,"['미용', '러브', '라이센스', '로딩', '미용실', '스타일', '오랜만', '헤어', '시작', '가구']"
아이러브치킨,simulation,4.2,72500,https://play.google.com/store/apps/details?id=kr.co.sonew.chickentycoon3.google,https://play-lh.googleusercontent.com/sv_rm31VMfMFCEQfmH8y0MpAfGwXVgTR6dAJfyA1CnrGOcnKCPXQySpvJ5Nzb-sEgqwB=w240-h480-rw,"['치킨', '매장', '튀김', '닭튀김', '터치', '통닭', '에그', '농장', '러브', '조리기']"
에브리타운,simulation,3.2,285000,https://play.google.com/store/apps/details?id=kr.co.feverstudio.apps.everytown,https://play-lh.googleusercontent.com/QQ8tPnhWH2kqGq2KA_UIBU-_Sg3njZbR2jULdy6QulYKy8WuhssTBDIdhTHhbd-O4yE=w240-h480-rw,"['에브리타운', '시드', '타운', '전문점', '공장', '삭제', '업뎃', '레벨', '마을', '작물']"
아이러브커피,simulation,3.4,148000,https://play.google.com/store/apps/details?id=com.patistudio.milc4kakao,https://play-lh.googleusercontent.com/9C8N-7K1LWmePp53fqJGvi5U8aV19voJ9TDmJ4F8C2JFHbvr3deatIn9Uo3HLCIJXQ=w240-h480-rw,"['원두', '커피', '와이파이', '아이러브커피', '사이드', '인터넷', '연결', '퀘스트', '로스팅', '삭제']"
바이킹아일랜드,simulation,3.5,37800,https://play.google.com/store/apps/details?id=com.ngonsub.VikingIsland,https://play-lh.googleusercontent.com/GvsRiG4IqgOl8ClHt-OI0ejUdswfUJ2VQauLhI2AoORiUz05wrAAMrC8L8oGMTEbCyJF=w240-h480-rw,"['진주', '바이킹', '바아', '건물', '아일랜드', '업뎃', '흑진주', '시작', '버전', '강화']"
피망 섯다,board,4.2,11500,https://play.google.com/store/apps/details?id=com.neowiz.games.suddaKakao,https://play-lh.googleusercontent.com/AgrmOotjBzn15wI8SRbc6wiXMJtQY36TFuk8TERQ4B3aqVozZVG-jgxgZIFkqDRcfLke=w240-h480-rw,"['광땡', '시간', '재미', '장땡', '피망', '올인', '섯다', '스릴', '피망섯다', '오링']"
피망 뉴맞고,board,3.9,34000,https://play.google.com/store/apps/details?id=com.neowiz.games.newmatgoKakao,https://play-lh.googleusercontent.com/pzF5YUspjleq9i40CPgpiJWNCK9hdsirffesuDck2BlJm1QtYs7Ym4PCJbi5wp3ORQ=w240-h480-rw,"['올인', '상대방', '피망', '보너스', '오링', '뒷패', '조작', '몰아주기', '랜덤', '고스톱']"
애니팡 섯다,board,3.8,11800,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.sutda.service,https://play-lh.googleusercontent.com/xTnvNbRye5Vyd-WHDhn4q3UOuLfEksFWvim6RkZGx9ewBT5YTD2ODo5RMU9WGfd2_zU=w240-h480-rw,"['사람', '섯다', '피망', '애니팡', '재미', '머니', '광땡', '맛고', '시간', '올인']"
퍼즐쓰리고,board,3.9,23700,https://play.google.com/store/apps/details?id=com.sandwichgames.puzzlethreego,https://play-lh.googleusercontent.com/-YuT-GxydU7uLycf_Mj4Tf2f_X3vD6uonfaniD5EWXvY_kiHdUWvJ-Rk1dzXOBpFfng=w240-h480-rw,"['꽃신', '엽전', '퍼즐', '고무신', '재미', '시간', '음악', '트로트', '스테이지', '난이도']"
한방맞고,board,3.6,944,https://play.google.com/store/apps/details?id=com.lunosoft.hmg,https://play-lh.googleusercontent.com/iFAFMO3nenGMS4Fmp9xlWl0Y-Vr8jnDxtxGAuVjR_BEOwdsmWw1QGv4_VOcy556ZMUfM=w240-h480-rw,"['올인', '한방', '뗴우기', '따블', '연승', '장보기', '코스튬', '재미', '시간', '상대방']"
애니팡 포커,board,3.8,48100,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.poker.service,https://play-lh.googleusercontent.com/XfBF0dWM4lgCLZnk1jjZrbrjcQd2POspnn4sD8zTuXea20Ut1nZIX4MxlwBwJ3xdcEHI=w240-h480-rw,"['포커', '오링', '복권', '애니팡', '배팅', '머니', '삭제', '로우', '올인', '현지']"
피망 포커,board,3.9,15300,https://play.google.com/store/apps/details?id=com.neowiz.games.pokerKakao,https://play-lh.googleusercontent.com/c5rKX3Io9QpchLs_KzqMXISN3RTP51cno7nAf6RlYjByxJ-Wg0IDV_q_fgVAgObozWJL=w240-h480-rw,"['포커', '피망', '시간', '오링', '머니', '올인', '짱구', '배팅', '재미', '카드']"
바둑2.0,board,3.5,1140,https://play.google.com/store/apps/details?id=com.monomob.baduk2,https://play-lh.googleusercontent.com/Uv7RDIyAkAN1AVZXxWEbhmrpGV9cqQNAXMzlH5v8cWrSGxIrhhYC-e1rwjMjGDSqETY=w240-h480-rw,"['바둑', '계가', '대국', '형세', '초읽기', '급수', '타이젬', '관전', '기력', '사석']"
애니팡 맞고,board,3.9,128000,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.matgo.service,https://play-lh.googleusercontent.com/mnKXlP-7CMBWSyho2khJyF_vIyIbk7nLUKE82vbpjcBVVSSWr2Q7gpxlCCynAiBfBfHd=w240-h480-rw,"['오링', '올인', '애니팡', '삭제', '몰아주기', '상대방', '화투', '상대', '화면', '보너스']"
맞고의신,board,3.6,33700,https://play.google.com/store/apps/details?id=com.joymax.gostop,https://play-lh.googleusercontent.com/UDUU738XTM9XBvSp9dES1oSzz4yKpPfbnNIpGN_m8iqi9ajJkgpKjnxt4qf6o0dkqzY=w240-h480-rw,"['올인', '상대방', '보너스', '상대', '뒷패', '오링', '조작', '사람', '스트레스', '현지']"
오목,board,2.5,58500,https://play.google.com/store/apps/details?id=com.monomob.omok,https://play-lh.googleusercontent.com/-c2Mz66bqgaBU9eO6CBP7hzwIDrIJ9Z4pHfI-doOzeKyYZwfIB6G-VVCDup5Z5ThMTnF=w240-h480-rw,"['대국', '상대방', '시간', '착수', '기권', '렌주', '급수', '매너', '악용', '상대']"
